"August 20, 2018 at 06:21PM","August 20, 2018 at 06:26PM",306
"August 21, 2018 at 06:09AM","August 21, 2018 at 06:13AM",220
"August 21, 2018 at 07:41AM","August 21, 2018 at 07:52AM",633
"August 21, 2018 at 09:19AM","August 21, 2018 at 09:28AM",533
"August 21, 2018 at 02:15PM","August 21, 2018 at 02:22PM",425
"August 21, 2018 at 03:50PM","August 21, 2018 at 04:01PM",632
"August 21, 2018 at 05:27PM","August 21, 2018 at 05:36PM",499
"August 22, 2018 at 06:50AM","August 22, 2018 at 07:00AM",598
"August 22, 2018 at 08:26AM","August 22, 2018 at 08:36AM",593
"August 22, 2018 at 10:07AM","August 22, 2018 at 10:11AM",280
"August 22, 2018 at 01:23PM","August 22, 2018 at 01:28PM",303
"August 22, 2018 at 02:58PM","August 22, 2018 at 03:08PM",601
"August 22, 2018 at 04:35PM","August 22, 2018 at 04:45PM",589
"August 23, 2018 at 05:59AM","August 23, 2018 at 06:07AM",517
"August 23, 2018 at 07:34AM","August 23, 2018 at 07:44AM",628
"August 23, 2018 at 09:13AM","August 23, 2018 at 09:20AM",408
"August 23, 2018 at 12:33PM","August 23, 2018 at 12:34PM",106
"August 23, 2018 at 02:07PM","August 23, 2018 at 02:16PM",544
"August 23, 2018 at 03:43PM","August 23, 2018 at 03:53PM",630
"August 23, 2018 at 05:23PM","August 23, 2018 at 05:25PM",128
"August 24, 2018 at 05:08AM","August 24, 2018 at 05:14AM",348
"August 24, 2018 at 06:42AM","August 24, 2018 at 06:53AM",638
"August 24, 2018 at 08:20AM","August 24, 2018 at 08:28AM",503
"August 24, 2018 at 01:15PM","August 24, 2018 at 01:23PM",463
"August 24, 2018 at 02:51PM","August 24, 2018 at 03:01PM",637
"August 24, 2018 at 04:28PM","August 24, 2018 at 04:36PM",442
"August 25, 2018 at 05:50AM","August 25, 2018 at 06:00AM",617
"August 25, 2018 at 07:27AM","August 25, 2018 at 07:37AM",573
"August 25, 2018 at 09:08AM","August 25, 2018 at 09:11AM",215
